NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Franklin County, Florida",0500000US12037,11531,42.6,9455,1799,8,162,3,36,8648,4618,3047,1571,3499,63,0,55,40,706,2635,170100,126,9726,2336,21009,65,37017,6791,4143,215,7613,6874,6722,1034,12,037
"Gadsden County, Florida",0500000US12039,46205,38.3,16981,25654,115,202,0,2461,19410,16488,11500,4988,14344,120,256,517,1429,2953,9069,109000,109,44013,12919,17657,94,33453,32071,10903,406,28765,25930,24842,3124,12,039
"Gilchrist County, Florida",0500000US12041,16843,39.6,15462,801,54,71,0,107,7246,6009,4880,1129,3075,1,21,20,94,275,2664,119600,90,15635,2792,18869,73,38467,10055,6204,179,10372,9893,8398,1070,12,041
"Glades County, Florida",0500000US12043,12684,42.3,9925,1520,380,398,0,451,6919,3903,3033,870,3081,30,0,64,105,718,2164,95200,56,11669,2279,18248,28,39611,5235,5242,82,7597,5576,6456,544,12,043
"Gulf County, Florida",0500000US12045,15878,42.8,13412,1861,228,39,0,176,9072,5385,4026,1359,3317,19,0,130,124,644,2400,150600,19,13468,2353,18371,26,41291,8957,6127,237,10565,9977,9199,1120,12,045
"Hamilton County, Florida",0500000US12047,14742,38.1,8922,5224,57,40,5,299,5740,4441,3248,1193,3193,48,19,0,133,273,2720,75600,0,11614,2727,15484,84,36683,8409,5442,176,9890,8773,8003,645,12,047
"Hardee County, Florida",0500000US12049,27690,33.0,22793,2030,226,664,0,1682,9775,7850,5794,2056,7462,0,31,91,326,1219,5795,104100,45,25916,7381,15760,108,38046,13905,7400,385,16480,9227,13569,1349,12,049
"Hendry County, Florida",0500000US12051,39084,32.3,25715,5249,492,273,0,6723,14449,11013,7704,3309,11491,0,0,575,614,1152,9150,103400,125,36762,9564,14858,110,37989,19115,9089,897,23686,13289,19199,1915,12,051
"Hernando County, Florida",0500000US12053,172079,47.2,155671,8886,358,1918,46,2867,84071,70809,58320,12489,32653,38,20,127,1577,3327,27564,145000,136,169737,21658,22540,970,42700,48106,107822,5109,93909,83286,82571,13429,12,053
"Highlands County, Florida",0500000US12055,98985,51.0,83786,9395,755,1265,78,2309,55260,39970,31727,8243,22743,20,19,171,1351,3825,17357,115600,96,97387,17869,19860,436,34913,32512,52659,3418,49258,37675,42657,6178,12,055
"Hillsborough County, Florida",0500000US12057,1219331,36.0,897612,202259,6745,41316,974,39171,531979,463425,288995,174430,422275,756,1296,4285,16300,50543,349095,185900,4206,1201240,180266,27282,18544,50195,481732,497109,54808,783464,572498,657265,201693,12,057
"Holmes County, Florida",0500000US12059,20003,41.5,18151,962,174,191,50,64,8616,6761,5351,1410,4191,0,37,135,163,575,3281,86800,30,18192,3998,15404,31,33510,11070,8178,172,12407,11757,10647,1041,12,059
"Indian River County, Florida",0500000US12061,137004,48.5,119897,12116,209,1561,10,1376,76119,57467,43844,13623,33484,18,75,339,1715,3693,27644,179300,1959,135346,18102,31732,3162,46363,42151,79030,1634,74216,61254,65038,15882,12,061
"Jackson County, Florida",0500000US12063,49537,40.2,34460,12969,200,218,13,494,20977,16440,12999,3441,8435,95,21,101,856,1796,5566,97200,63,42019,6343,18368,251,39869,28998,18503,541,31885,29494,27311,3871,12,063
"Jefferson County, Florida",0500000US12065,14622,43.3,8901,5413,22,11,12,135,6550,5313,3928,1385,3377,56,74,400,338,315,2194,125000,28,13217,2131,19788,67,42096,8883,5170,122,9482,8673,8337,1242,12,065
"Lafayette County, Florida",0500000US12067,8627,36.0,7188,1031,6,57,0,345,3466,2474,1982,492,2189,5,0,0,156,319,1709,153500,25,7948,1175,19201,20,49713,5877,2102,165,5420,4811,4435,431,12,067
"Lake County, Florida",0500000US12069,295594,45.4,246644,27989,1072,5549,216,8477,143695,118253,91843,26410,66723,40,12,488,2729,7631,55823,167900,802,291989,33293,25440,2426,47509,98849,162774,8542,163159,140787,143657,29229,12,069
"Lee County, Florida",0500000US12071,615955,45.0,518332,49430,2572,9086,92,26558,369318,243017,179230,63787,174814,602,450,1467,7002,19111,146182,181000,3897,607921,82069,28946,9958,49444,157543,351345,13504,352815,268295,305890,73333,12,071
"Leon County, Florida",0500000US12073,273352,29.2,172867,82093,1002,8180,151,3314,123500,109508,60264,49244,111108,175,119,1077,3747,10141,95849,195300,715,258314,57476,26332,3543,45827,149686,100684,4600,195076,175292,130544,58225,12,073
"Levy County, Florida",0500000US12075,40556,44.5,34929,3780,88,240,3,415,19945,16034,12400,3634,9642,33,27,301,905,1631,6745,108400,268,39825,9006,19244,220,35920,20623,17538,805,24150,22480,21128,2548,12,075
"Liberty County, Florida",0500000US12077,8291,38.5,6950,1004,98,11,0,63,3177,2142,1612,530,1892,0,0,0,425,208,1259,80600,50,6715,1436,16291,21,40893,5515,2407,128,5997,5549,4855,674,12,077
"Madison County, Florida",0500000US12079,19269,40.2,10794,7465,82,46,119,522,8463,6939,5196,1743,4671,155,53,37,921,536,2969,94100,17,17123,3496,16398,96,36557,12258,6187,112,12127,11058,10209,1167,12,079
"Manatee County, Florida",0500000US12081,321296,45.3,267864,27729,756,5578,225,14417,172018,131318,95809,35509,93389,102,307,750,5422,14734,72074,195300,2283,316824,43122,27918,4470,48181,98208,179341,4230,180859,147868,158242,41723,12,081
"Marion County, Florida",0500000US12083,330100,47.0,269677,40351,1195,4334,201,8899,163264,133977,104987,28990,74778,215,90,851,3967,8511,61144,142000,1282,321817,52945,22328,2534,40103,117597,177114,9250,182220,158079,158449,27018,12,083
"Martin County, Florida",0500000US12085,145480,49.3,128414,7928,575,1238,36,5360,77898,59316,46746,12570,32525,0,174,492,1758,5258,24843,238200,2220,142450,15397,35822,4232,53612,38253,90810,1994,80259,67065,70786,21657,12,085
"Miami-Dade County, Florida",0500000US12086,2474676,38.0,1835134,474119,3902,38951,648,87982,986723,825337,475336,350001,955938,2137,6041,18487,74702,170923,683648,246800,16777,2421799,434174,23348,34011,43957,798650,326757,82416,1582958,421925,1336927,377697,12,086
"Monroe County, Florida",0500000US12087,73068,46.1,65987,4796,112,753,18,769,52818,28272,18178,10094,26261,23,62,737,1896,4907,18636,463100,2836,71816,8299,35074,1872,53889,21294,37935,1228,49874,37978,44417,12283,12,087
"Nassau County, Florida",0500000US12089,72379,42.8,65018,5023,161,675,19,643,34610,27664,22092,5572,15611,31,39,328,1252,2032,11929,202300,922,71574,6749,29368,1155,58933,36079,33303,1052,45098,43022,39408,8373,12,089
"Okaloosa County, Florida",0500000US12091,181973,37.9,149037,16340,1087,5695,89,2383,92095,71609,47937,23672,57775,298,185,802,2582,7330,46578,196800,1002,176982,20705,28505,2848,54140,58015,104752,6023,116220,103838,97389,26268,12,091
"Okeechobee County, Florida",0500000US12093,39978,39.4,33893,3289,308,343,0,1543,18300,13857,10358,3499,10966,0,7,334,1240,1026,8359,124300,159,38157,9049,19493,266,36929,20310,14142,468,23428,17390,19618,2167,12,093
"Orange County, Florida",0500000US12095,1133087,33.6,736222,230469,3904,55286,1451,76909,482616,408605,243367,165238,425049,468,892,3327,15406,52089,352867,211100,5070,1111228,165065,25494,15351,49731,379463,445902,88069,755341,497425,612471,192724,12,095
"Osceola County, Florida",0500000US12097,265328,35.3,199830,29340,490,7191,46,18359,126290,93100,60338,32762,92815,105,49,129,2650,12241,77641,170200,851,262409,36458,20440,1529,46479,62744,110278,39229,166365,87655,140493,27104,12,097
"Palm Beach County, Florida",0500000US12099,1309401,43.3,988739,222997,2767,30475,632,43605,661865,523559,380150,143409,371985,342,1496,4651,21977,44686,298833,236600,15561,1290963,171135,33960,32799,52951,375816,617165,26891,759077,523457,655383,215466,12,099
"Pasco County, Florida",0500000US12101,461898,43.5,415565,20153,1105,9991,279,6321,227268,184270,144269,40001,103586,0,315,875,4536,15397,82463,145100,820,455995,63670,24116,3350,44103,139837,268809,11148,268473,230192,236143,52681,12,101
"Pinellas County, Florida",0500000US12103,916806,45.9,766745,93459,2102,27784,877,9602,503662,401598,279544,122054,264737,488,1227,2732,15143,40506,204641,172900,5268,900399,113151,29232,13524,45891,276137,519993,18283,558983,481786,492364,142374,12,103
"Polk County, Florida",0500000US12105,598376,39.7,466784,86734,1987,9585,315,21566,279959,221975,159173,62802,175363,590,439,2601,8316,23044,140373,133200,917,584318,96003,21952,4221,44398,250489,260763,23785,350337,279023,297603,55479,12,105
"Putnam County, Florida",0500000US12107,74595,43.1,58364,12062,318,522,16,2060,37283,29061,22435,6626,18095,201,74,354,1416,3319,12731,105300,117,72967,17916,18609,202,34174,41713,28098,1175,43545,39808,37187,4436,12,107
"St. Johns County, Florida",0500000US12109,186077,42.0,166053,9956,363,3607,156,1602,88573,71807,55240,16567,39618,44,132,442,1491,4414,33095,279700,2271,183671,17402,36694,5661,64153,64837,105989,3549,114321,104211,99760,40401,12,109
"St. Lucie County, Florida",0500000US12111,274693,42.2,201301,51072,1478,4393,33,8706,136056,103900,78190,25710,74248,49,101,1441,3015,8509,61133,157600,622,271250,41477,23172,1862,44947,90423,134851,6292,158659,122852,137493,24105,12,111
"Santa Rosa County, Florida",0500000US12113,150073,39.0,132028,7443,1222,3011,168,1258,64066,55956,42695,13261,34972,41,117,276,2058,4459,28021,173400,421,146588,15868,26507,1674,55913,57854,81647,3652,95021,87681,82376,22038,12,113
"Sarasota County, Florida",0500000US12115,378404,52.1,345034,17283,677,5011,107,4872,227606,169256,128934,40322,93236,55,430,1060,4580,11638,75473,213400,4997,372765,40886,33096,7570,49212,80510,249678,4756,201953,173343,179633,50829,12,115
"Seminole County, Florida",0500000US12117,419641,38.1,337053,44698,919,16005,275,9648,180128,150443,107571,42872,109231,121,656,1058,4725,14867,87804,225500,1683,416345,41675,29894,7519,58908,145354,206092,19802,273447,221247,231336,82763,12,117
"Sumter County, Florida",0500000US12119,90251,62.2,78387,9230,255,530,38,939,51047,40294,36110,4184,10892,16,383,62,522,1876,8033,186800,242,80966,9098,25070,543,44817,23439,60461,1194,43647,38857,40285,6447,12,119
"Suwannee County, Florida",0500000US12121,41171,42.7,34594,4451,47,161,0,663,18994,15810,11635,4175,11248,35,103,11,764,1923,8412,108900,89,40131,7861,19094,201,37775,23737,14958,327,24008,22258,20666,2043,12,121
"Taylor County, Florida",0500000US12123,22382,41.0,17039,4636,126,165,31,34,10941,7632,6372,1260,3684,13,52,18,208,564,2829,89700,145,19982,3478,18291,89,38005,15048,6570,291,14333,13355,12506,1309,12,123
"Union County, Florida",0500000US12125,15484,40.0,11496,3058,74,339,0,206,4461,3665,2433,1232,4231,13,3,80,442,659,3034,113500,0,11381,2067,14210,10,45645,9605,4802,189,11064,9949,9464,951,12,125
"Volusia County, Florida",0500000US12127,496089,44.9,408660,50820,1679,8106,198,18108,253229,197382,148039,49343,117684,417,480,1681,5585,15973,93548,172100,1578,482467,72356,24536,4610,44169,165817,278361,15552,297922,257625,253122,55023,12,127
"Wakulla County, Florida",0500000US12129,30013,39.4,24979,4128,231,154,0,70,12766,10539,8871,1668,4817,3,18,5,592,668,3531,136900,113,27014,3450,22089,92,54151,19258,9519,415,19892,18808,17478,2969,12,129
"Walton County, Florida",0500000US12131,54309,42.8,47448,2976,528,444,133,1507,44613,22454,16612,5842,14474,85,0,196,833,1670,11690,174000,681,52003,7748,27064,834,46926,21653,29039,890,34581,31538,30561,7149,12,131
"Washington County, Florida",0500000US12133,24543,40.6,19635,3520,224,91,0,213,10743,8727,6699,2028,5143,2,35,230,629,764,3483,96600,30,22516,4571,18382,89,37036,13547,10139,224,15538,14705,13548,1529,12,133
"Appling County, Georgia",0500000US13001,18202,38.6,13213,3574,9,138,11,1180,8475,7062,5012,2050,5335,38,101,155,450,1537,3054,82300,21,17863,4146,18899,13,34989,13983,3176,0,11121,9901,9636,939,13,001
"Atkinson County, Georgia",0500000US13003,8375,33.0,5466,1535,2,0,0,1224,3507,2745,1898,847,2597,75,21,56,59,481,1905,61100,15,8332,2627,15172,34,32814,5895,1492,75,5049,4002,4244,367,13,003
"Bacon County, Georgia",0500000US13005,11075,35.9,8582,1900,0,20,0,553,4796,3909,2579,1330,3436,53,29,136,468,348,2402,67300,0,10664,2142,16561,23,32065,8015,2506,3,6732,6353,5879,536,13,005
"Baker County, Georgia",0500000US13007,3494,35.7,1664,1830,0,0,0,0,1520,1262,850,412,1100,91,0,20,35,141,813,71200,0,3454,1241,17838,30,27255,3115,366,0,1763,1754,1466,136,13,007
"Baldwin County, Georgia",0500000US13009,46345,34.2,25594,19595,43,662,0,235,19970,16317,9845,6472,16477,71,184,526,1233,1968,12495,113700,40,40816,11116,17953,196,36429,36838,7982,388,31483,30056,22684,4321,13,009
"Banks County, Georgia",0500000US13011,18074,37.5,16817,504,17,183,0,402,7493,6583,5165,1418,3761,95,27,125,291,865,2358,149300,6,18047,3076,20149,131,41397,14030,3430,58,11196,10633,9712,1162,13,011
"Barrow County, Georgia",0500000US13013,68061,33.1,54791,8361,103,2291,0,1383,26167,23404,18031,5373,16187,14,55,157,1258,2234,12469,137300,87,67533,8912,20740,250,50604,42094,20621,416,42383,37448,36887,6267,13,013
"Bartow County, Georgia",0500000US13015,98905,36.2,81451,9731,468,716,92,4813,39446,34477,24173,10304,27759,130,174,410,1879,3237,21929,147000,139,97661,15076,22324,617,49060,64400,29181,412,61921,57434,53403,9243,13,015
"Ben Hill County, Georgia",0500000US13017,17658,38.3,10317,6907,0,99,0,127,7934,6344,4011,2333,6193,104,22,98,371,1302,4296,77100,13,17296,4507,16234,53,31943,13606,3728,6,10524,10255,8711,1127,13,017
"Berrien County, Georgia",0500000US13019,18977,37.3,15992,2300,9,0,0,513,8604,7213,5063,2150,5637,142,67,99,637,765,3927,74500,0,18527,4393,16885,26,32512,14263,4086,170,11493,10872,9848,1235,13,019
"Bibb County, Georgia",0500000US13021,155186,35.5,68510,79110,373,2471,52,1874,69668,57189,32857,24332,60725,456,526,1598,3782,8267,46096,121900,159,148502,34210,21754,1744,37975,115757,32949,987,95283,90150,79233,19119,13,021
"Bleckley County, Georgia",0500000US13023,13095,39.2,8994,3720,6,280,0,68,5290,4182,2980,1202,3175,21,12,13,222,736,2171,81200,0,11803,2385,18149,78,35997,10886,1832,39,8173,7732,6119,822,13,023
"Brantley County, Georgia",0500000US13025,17937,37.4,16983,859,35,0,0,0,7972,6735,5664,1071,2375,10,0,186,319,306,1554,74400,87,17607,3816,18464,30,38374,13602,4212,58,11022,10781,9414,417,13,025
"Brooks County, Georgia",0500000US13027,16256,39.4,9547,5897,6,46,0,570,7642,6330,4571,1759,4604,10,3,253,224,1029,3085,96300,19,16000,3248,22812,118,40186,11473,4095,144,9822,9160,8126,1049,13,027
"Bryan County, Georgia",0500000US13029,29847,35.7,23892,3904,59,424,0,649,11745,10705,7891,2814,7603,60,49,0,652,871,5971,182200,64,29624,3482,28911,305,64651,15327,12581,815,18612,17709,16253,4977,13,029
"Bulloch County, Georgia",0500000US13031,69008,25.8,46479,18801,174,1039,0,1272,28436,24826,13517,11309,27625,16,100,314,987,2654,23554,140100,101,64218,19565,17918,389,33902,48971,17012,459,48766,46037,29114,7976,13,031
"Burke County, Georgia",0500000US13033,23211,35.7,10952,12020,11,14,0,15,9796,7745,5539,2206,5848,41,74,84,608,1262,3779,78900,6,22974,6581,15690,41,32188,18019,4868,142,13859,13607,11548,1053,13,033
"Butts County, Georgia",0500000US13035,23568,38.1,16467,6695,0,156,0,166,9335,7931,6093,1838,5567,23,23,341,100,963,4117,140400,14,21531,2658,21130,87,49339,17703,5245,89,15439,14897,12947,1083,13,035
"Calhoun County, Georgia",0500000US13037,6568,38.6,2292,3928,27,40,0,269,2405,1782,1282,500,1266,0,105,0,148,207,806,60100,14,5149,1841,13428,8,32986,5010,1166,59,4535,4095,3639,295,13,037
"Camden County, Georgia",0500000US13039,49957,31.5,37526,9890,236,724,162,262,20945,18015,12486,5529,14449,95,7,104,630,1982,11631,163000,138,48253,7804,22228,175,51061,16427,31478,1251,31987,30275,25478,5188,13,039
"Candler County, Georgia",0500000US13043,10891,37.1,7421,2631,44,68,0,626,4697,3711,2486,1225,3639,44,8,116,402,637,2432,79400,6,10521,2000,16962,52,37315,7385,2799,25,6568,5597,5309,883,13,043
"Carroll County, Georgia",0500000US13045,110292,33.5,85498,20057,261,862,0,1756,44599,39473,26912,12561,33187,268,95,607,1764,4175,26278,136100,180,106548,19253,20739,730,45752,74296,29837,920,70311,64602,56203,10840,13,045
"Catoosa County, Georgia",0500000US13047,63643,38.3,59765,1518,181,694,12,318,26473,24143,18002,6141,15241,559,114,423,1192,1238,11715,133100,15,63005,7679,22368,277,46549,23468,38403,519,39168,37747,33989,6718,13,047
"Charlton County, Georgia",0500000US13049,12714,38.4,9474,3139,46,0,0,4,4438,3739,2947,792,2523,10,66,10,15,620,1802,84900,4,11190,1679,17623,104,42307,6457,5312,117,8381,7532,7399,696,13,049
"Chatham County, Georgia",0500000US13051,261322,34.2,142035,105911,239,6218,133,3133,118282,100658,59060,41598,104499,500,818,1245,4779,12210,84947,176400,1313,253064,45790,25394,3244,45985,151741,88745,4021,169514,154677,135667,41324,13,051
"Chattahoochee County, Georgia",0500000US13053,11686,24.4,7856,2522,137,290,54,451,3374,2544,800,1744,6159,0,0,0,63,390,5706,88300,34,8584,935,21648,37,49969,2806,7567,662,8210,6922,5148,1541,13,053
"Chattooga County, Georgia",0500000US13055,26001,39.3,22186,2999,5,44,25,355,10990,9031,6433,2598,7266,36,124,219,284,1687,4916,78300,0,24308,4670,14924,47,32224,19036,6103,166,16343,15625,14247,1265,13,055
"Cherokee County, Georgia",0500000US13057,211316,36.1,184134,12074,969,3539,32,6802,81587,75784,60549,15235,40770,59,16,515,1275,4193,34712,198000,345,210059,16113,29968,3664,66717,97105,93930,2258,134308,116471,118063,42222,13,057
"Clarke County, Georgia",0500000US13059,116131,25.7,76182,30299,57,4711,33,2201,50944,41349,18872,22477,57732,110,39,409,2475,6134,48565,161100,171,104697,36199,19596,1046,34151,66895,35049,1155,85873,74352,49775,20591,13,059
"Clay County, Georgia",0500000US13061,3194,38.0,1024,2135,0,0,0,0,1980,1194,859,335,958,29,0,12,91,101,725,71700,6,3131,1351,12619,0,24750,2615,575,4,1710,1686,1465,117,13,061
"Clayton County, Georgia",0500000US13063,260756,31.3,54168,170540,640,13399,164,16392,104576,85875,50721,35154,100660,51,595,1311,4413,12610,81680,121300,116,255005,46881,18835,776,42936,129254,88714,4448,167250,131737,139768,25896,13,063
"Clinch County, Georgia",0500000US13065,6830,35.4,4602,2147,15,0,0,0,3005,2585,1797,788,2129,0,44,70,92,1060,863,70800,6,6590,1837,15980,0,33143,5559,1225,0,4088,4038,3544,538,13,065
"Cobb County, Georgia",0500000US13067,684468,35.2,431175,169112,1755,30332,390,39269,285273,258710,177428,81282,198184,271,442,1572,6627,21802,167470,210100,1837,676315,76183,33514,17869,65423,258576,312904,9152,449820,356572,387424,179824,13,067
"Coffee County, Georgia",0500000US13069,42143,34.8,27047,11410,131,190,0,3212,17035,14714,10245,4469,12055,54,114,1008,628,2256,7995,79400,28,38933,9141,16854,216,34327,32047,6963,236,26383,23619,21921,2684,13,069
"Colquitt County, Georgia",0500000US13071,45079,34.6,29497,10381,22,294,3,4647,18263,15978,10235,5743,15575,130,114,398,1480,3374,10079,85600,106,44120,10805,17922,266,33345,32924,6992,191,26839,21959,22358,2940,13,071
"Columbia County, Georgia",0500000US13073,121335,36.9,93858,18321,313,5114,77,1283,47716,43070,34638,8432,23102,109,150,237,773,2766,19067,169600,196,120579,9228,30109,2348,66556,60088,49662,3410,75814,68281,65897,23622,13,073
"Cook County, Georgia",0500000US13075,17081,36.4,11385,4819,101,45,0,554,7246,6521,4689,1832,5180,8,187,81,169,919,3816,87500,45,16827,3863,18755,91,35306,12542,3760,155,10165,9348,8840,913,13,075
"Coweta County, Georgia",0500000US13077,124695,36.4,97097,21992,78,1746,44,1589,49535,45227,34004,11223,30150,221,74,290,911,3333,25321,178500,140,123461,13724,26117,1176,61015,69983,46067,1502,77990,70733,68594,19409,13,077
"Crawford County, Georgia",0500000US13079,12751,40.6,9285,2921,92,20,0,249,5311,4773,3880,893,2546,0,0,14,177,510,1845,88300,10,12627,3018,20244,57,37746,10035,2436,39,8224,7806,7071,740,13,079
"Crisp County, Georgia",0500000US13081,23379,37.7,12592,10207,20,249,0,238,10692,8826,5232,3594,10082,65,244,212,925,2136,6500,92100,4,22662,6356,17140,114,32616,19628,3446,29,13961,13538,11873,1429,13,081
"Dade County, Georgia",0500000US13083,16628,38.8,16001,181,95,94,0,50,7242,6290,4951,1339,3404,111,31,41,81,486,2654,125500,43,15549,2533,21110,121,41629,5815,10437,88,10614,10355,8469,1635,13,083
"Dawson County, Georgia",0500000US13085,22121,40.3,20948,52,126,127,21,486,10324,8049,6327,1722,5192,0,0,0,252,375,4565,193800,61,21830,2949,25158,244,51989,13620,7639,147,14105,13293,12168,2401,13,085
"Decatur County, Georgia",0500000US13087,27890,36.4,14851,11525,132,124,0,1184,12216,10371,6526,3845,9853,152,154,450,960,1570,6567,105400,15,26594,7143,17968,209,31391,19665,7379,59,16838,16251,14200,1771,13,087
"DeKalb County, Georgia",0500000US13089,690003,34.1,238153,376704,1890,34549,414,27917,303430,265137,154355,110782,279518,745,1326,2928,13053,34554,226912,185100,1536,674565,115584,28843,13161,51712,308921,260284,8240,462193,372842,392869,160489,13,089
"Dodge County, Georgia",0500000US13091,21597,38.4,14611,6410,61,51,0,108,9754,8197,5760,2437,5447,73,87,174,537,854,3722,70400,0,19452,4266,16756,28,33829,17491,3718,45,13555,13113,11319,1470,13,091
"Dooly County, Georgia",0500000US13093,14454,40.2,6434,7511,24,22,19,427,6175,4803,3274,1529,4104,93,37,66,657,567,2684,66800,5,12282,3463,15515,81,30830,12075,1863,0,9266,8792,7969,808,13,093
"Dougherty County, Georgia",0500000US13095,94616,32.9,29075,62810,178,691,0,714,40885,36013,17445,18568,47897,284,363,707,4642,7172,34729,102100,84,91559,26234,19204,780,32364,72676,19171,671,58657,56335,46470,8995,13,095
"Douglas County, Georgia",0500000US13097,130473,34.8,73624,49877,457,2096,0,2073,51156,45451,32542,12909,34663,46,278,291,1020,4812,28216,153900,83,128738,16287,24457,1224,54763,65570,52471,1256,82691,73303,71737,18591,13,097
"Early County, Georgia",0500000US13099,11110,38.5,5310,5676,19,28,0,9,5011,4122,2695,1427,3771,11,12,17,263,1033,2435,77900,41,10765,3180,17313,66,27645,8617,2430,9,6379,6241,5387,762,13,099
"Echols County, Georgia",0500000US13101,4016,27.8,2386,79,0,37,0,1505,1595,1292,816,476,1410,0,0,0,27,265,1118,100200,3,4016,1568,14179,21,29476,1945,1015,0,2571,1339,2135,144,13,101
"Effingham County, Georgia",0500000US13103,51476,35.3,42703,6993,217,515,91,528,19706,17856,13409,4447,13028,9,21,102,866,1863,10167,154600,52,51123,5303,24136,309,58935,34393,15465,495,32107,30867,27736,4812,13,103
"Elbert County, Georgia",0500000US13105,20274,40.2,13842,6060,52,117,0,75,9566,7697,5562,2135,5716,156,254,39,415,1065,3787,82200,11,20014,4415,17978,57,32634,15413,4244,80,12201,11461,10233,1195,13,105
"Emanuel County, Georgia",0500000US13107,22439,36.6,13814,7470,137,33,0,749,9932,8108,5331,2777,6905,29,94,93,812,1227,4650,80200,0,21458,5265,16318,103,30427,18578,3096,96,13756,12886,11540,1332,13,107
"Evans County, Georgia",0500000US13109,11002,36.2,6638,3325,33,41,0,911,4655,4114,2773,1341,3445,73,26,154,217,744,2231,89800,0,10355,2283,18547,19,38000,8486,1596,100,6692,5734,5542,761,13,109
"Fannin County, Georgia",0500000US13111,23529,47.8,22771,137,235,36,10,122,16156,10287,8268,2019,3703,38,48,234,139,548,2696,168900,167,23205,4382,20085,53,34554,12309,10902,30,14031,13401,12481,1803,13,111
"Fayette County, Georgia",0500000US13113,106094,42.0,76970,20838,245,4226,75,1376,40571,37930,32070,5860,15514,0,123,166,337,1513,13375,247500,289,105228,6218,35405,3093,81498,42755,51855,1805,64910,56887,57215,26335,13,113
"Floyd County, Georgia",0500000US13115,95978,37.4,76481,13450,467,1308,62,2592,40444,34823,23268,11555,30222,98,290,519,1295,4730,23290,120000,106,91710,17357,21213,832,43129,66892,22302,524,59013,52610,49161,9442,13,115
"Forsyth County, Georgia",0500000US13117,170815,36.6,148369,4732,390,9884,63,5072,62918,55465,48110,7355,22575,47,165,324,669,3315,18055,274200,658,170153,11157,35277,5215,88262,70341,76421,1428,104247,84802,94399,43064,13,117
"Franklin County, Georgia",0500000US13119,22102,39.6,19479,1930,72,138,5,297,10472,8774,6302,2472,6010,92,13,139,483,1193,4090,129100,101,21410,4376,19524,44,33086,16504,4957,105,13371,12711,11119,1588,13,119
"Fulton County, Georgia",0500000US13121,907811,34.1,418611,400328,1527,49603,413,23912,434749,362603,200682,161921,367811,1440,1975,3809,14588,43358,302641,250300,8831,878568,139609,37711,35760,57582,410736,369043,11702,609899,505848,513422,257878,13,121
"Gilmer County, Georgia",0500000US13123,28208,42.1,25910,165,51,0,0,1586,16422,11533,8263,3270,8772,83,98,36,484,2085,5986,152100,55,27846,5664,20624,262,37091,18609,7774,203,17135,15581,15167,2086,13,123
"Glascock County, Georgia",0500000US13125,3046,41.3,2722,283,0,0,0,0,1501,1220,837,383,978,12,5,56,48,105,752,68700,0,2976,615,17265,1,36275,2554,438,37,1770,1757,1614,165,13,125
"Glynn County, Georgia",0500000US13127,78736,39.4,54278,20561,88,918,0,1728,40332,30980,19800,11180,29675,146,157,703,1629,3914,23126,180400,524,77633,12294,27767,1197,49828,46345,27359,770,47894,43465,41232,10269,13,127
"Gordon County, Georgia",0500000US13129,54747,35.6,46360,2284,249,516,0,4525,22095,19085,13023,6062,16514,127,49,279,709,2937,12413,124500,89,54099,9980,18781,218,41336,37408,12333,241,33636,28731,28773,4069,13,129
"Grady County, Georgia",0500000US13131,24916,37.6,15360,7446,145,15,0,1718,10702,9308,6045,3263,9048,238,127,288,755,1696,5944,98000,35,24643,6838,17683,105,32091,17686,5709,88,15046,13524,12748,1467,13,131
"Greene County, Georgia",0500000US13133,15933,45.7,8909,6261,20,24,0,560,8544,6205,4549,1656,4866,17,460,187,661,635,2906,125000,331,15743,3657,24479,254,38209,11720,3551,63,9524,9035,8462,1253,13,133
"Gwinnett County, Georgia",0500000US13135,794872,33.6,429264,179983,2346,83989,453,78929,289912,262169,185877,76292,222552,143,216,1728,6416,26103,187946,190100,1509,788511,97463,26712,11022,63076,273840,303901,14429,510055,334162,442715,160100,13,135
"Habersham County, Georgia",0500000US13137,42744,38.4,37852,1764,173,928,0,1689,18038,15055,11508,3547,10050,44,82,397,554,1795,7178,146900,71,40140,7936,19710,244,41222,28641,10162,193,26018,22713,22163,4043,13,137
"Hall County, Georgia",0500000US13139,178286,34.2,147944,13227,621,3168,40,10360,68027,60939,42435,18504,54797,108,140,497,3295,8250,42507,174400,791,173823,26184,24572,2272,52050,100088,48046,1987,108979,80708,92479,20638,13,139
"Hancock County, Georgia",0500000US13141,9615,42.4,2292,7248,4,18,0,32,5301,2970,2310,660,1876,63,12,171,212,412,1006,72000,0,7917,1960,11714,6,24483,8029,1461,6,6354,6259,5293,748,13,141
"Haralson County, Georgia",0500000US13143,28681,38.2,26392,1361,11,186,0,193,12257,10626,7794,2832,7112,135,65,16,436,1214,5246,112900,132,28187,5748,19472,102,38664,22795,5448,158,17477,17077,14967,2077,13,143
