NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Nelson County, North Dakota",0500000US38063,3141,50.8,3094,17,14,0,0,0,1936,1443,1172,271,453,0,9,52,62,82,248,51100,5,3016,237,25757,12,41961,2461,634,23,1684,1663,1516,421,38,063
"Oliver County, North Dakota",0500000US38065,1793,48.8,1713,0,20,3,0,23,896,773,637,136,324,12,17,8,6,154,127,91100,6,1761,204,29825,5,61131,1460,297,27,1045,994,975,183,38,065
"Pembina County, North Dakota",0500000US38067,7440,47.0,7149,1,173,1,0,28,3882,3304,2612,692,1253,0,56,83,131,190,793,73000,0,7205,565,27555,57,52270,5365,1593,171,4320,4124,3862,878,38,067
"Pierce County, North Dakota",0500000US38069,4361,46.4,4186,3,150,7,0,0,2208,1951,1364,587,970,21,16,10,129,185,609,81700,0,4133,490,22011,15,40139,3778,481,41,2384,2307,2084,389,38,069
"Ramsey County, North Dakota",0500000US38071,11400,42.5,10005,88,839,132,0,43,5626,4807,3157,1650,2917,0,40,53,137,518,2169,85400,3,10898,1246,26257,96,44452,9076,2024,72,6784,6531,5773,1446,38,071
"Ransom County, North Dakota",0500000US38073,5559,43.0,5408,7,38,4,67,1,2655,2307,1702,605,1072,24,6,16,101,229,696,88800,0,5354,424,23546,8,47922,4188,1341,21,3104,3071,2812,613,38,073
"Renville County, North Dakota",0500000US38075,2440,45.0,2371,0,25,34,0,0,1408,1098,840,258,503,19,18,20,43,48,355,66200,19,2385,168,28704,21,50093,1748,625,28,1484,1469,1275,262,38,075
"Richland County, North Dakota",0500000US38077,16382,39.1,15572,60,322,111,26,58,7510,6483,4746,1737,3012,32,40,81,222,410,2227,99000,24,15314,1617,25835,141,48908,7532,8597,60,10276,9901,7980,1987,38,077
"Rolette County, North Dakota",0500000US38079,13885,30.7,2938,24,10610,0,12,43,5340,4619,3325,1294,3564,20,16,164,318,619,2427,61200,3,13637,5001,14282,23,27662,12411,1382,18,7880,7814,6499,1240,38,079
"Sargent County, North Dakota",0500000US38081,3909,45.7,3807,13,18,39,0,9,2005,1715,1371,344,594,16,22,3,90,140,323,72400,0,3864,273,26258,23,52154,2182,1666,24,2263,2233,2045,427,38,081
"Sheridan County, North Dakota",0500000US38083,1271,53.3,1254,4,7,0,1,0,886,608,524,84,142,3,19,0,36,20,64,53800,2,1263,219,25217,10,38235,1017,243,3,715,708,659,114,38,083
"Sioux County, North Dakota",0500000US38085,4149,26.7,544,7,3399,16,3,11,1303,1067,485,582,2437,2,179,166,495,839,756,72900,0,4076,1725,13983,15,32802,3413,710,9,2336,2076,1863,285,38,085
"Slope County, North Dakota",0500000US38087,721,47.6,721,0,0,0,0,0,462,306,259,47,90,11,3,2,0,35,39,54800,0,721,38,28079,8,55625,475,235,0,450,446,410,126,38,087
