NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state
Louisiana,0400000US22,4484596,35.9,2838981,1429820,28154,69355,1719,51051,1944234,1675097,1136619,538478,1325804,11887,14392,29960,88831,191205,989529,135400,6750,4356062,800705,23853,47969,44086,3520804,772719,26381,2824597,2580406,2350995,522208,22
Maine,0400000US23,1328543,42.4,1268113,13979,7124,13745,310,3621,718914,551601,400881,150720,308705,2942,2788,7851,25314,44990,224820,176600,4485,1293254,165146,26195,13000,47898,851233,419790,13496,843227,788762,726415,208953,23
Maryland,0400000US24,5736545,37.8,3397326,1683842,16603,312883,2708,183883,2369168,2128377,1461708,666669,1605533,9168,13597,33179,130219,257033,1162337,319800,45701,5597203,502610,35751,171527,72419,2722929,2164670,74225,3686203,3042765,3133932,1192260,24
Massachusetts,0400000US25,6512227,38.9,5294754,431907,12238,345422,1711,270932,2799357,2522409,1604473,917936,1982574,21128,27368,58256,210552,332012,1333258,343500,57135,6288679,673467,35051,182735,65981,4105546,1289804,159463,4197762,3249361,3527988,1487221,25
Michigan,0400000US26,9920621,38.5,7869573,1395245,54638,244623,2690,130312,4532215,3825182,2812607,1012575,2341014,14541,20647,48509,156363,306760,1794194,137300,18510,9697212,1518458,25482,111963,48669,7570455,1690828,63608,6200947,5630910,5225342,1422688,26
Minnesota,0400000US27,5278190,37.3,4556910,264751,57271,208315,2129,72079,2339293,2094265,1542370,551895,1165598,5977,6643,17584,72489,150132,912773,201400,15970,5155949,565154,30310,88905,58476,3615492,1256331,30761,3325098,2970639,2817979,968003,27
Mississippi,0400000US28,2956700,35.9,1767875,1094596,13775,25807,579,22642,1266417,1085062,766280,318782,831356,7085,9633,19031,61302,122802,611503,99200,4308,2860440,617805,20521,22034,38718,2108700,767847,15095,1824550,1744263,1517496,314659,28
Missouri,0400000US29,5955802,37.7,4957147,686044,22509,93632,5725,60629,2702890,2354104,1636705,717399,1604077,7944,9142,25734,98945,220525,1241787,138900,11435,5777117,828615,25371,64065,47202,3934134,1756989,37084,3706016,3465845,3117589,863940,29
Montana,0400000US30,982854,39.8,881905,4403,61399,5999,664,5548,478030,403495,277913,125582,273002,1847,1892,5989,21018,38944,203312,179900,5661,958682,139904,24640,8276,45324,536127,419288,7851,616089,586313,519928,155739,30
Nebraska,0400000US31,1813061,36.3,1600661,79828,15858,30637,1263,44877,793243,715703,488808,226895,497557,3051,4155,10220,35874,70303,373954,125400,1692,1758705,211752,26113,19729,50695,1188498,502516,12575,1113821,999614,929191,284930,31
