NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 99.05, District of Columbia, District of Columbia",1400000US11001009905,2544,36.1,33,2462,2,47,0,0,1366,1095,371,724,1406,12,14,42,257,308,773,277200,34,2542,525,20937,15,36185,1593,852,0,1598,1532,1375,170,11,001,009905
"Census Tract 99.06, District of Columbia, District of Columbia",1400000US11001009906,1516,41.2,0,1516,0,0,0,0,823,665,312,353,767,6,41,59,22,129,510,206400,0,1516,224,20647,0,40085,948,546,0,1062,1039,866,64,11,001,009906
"Census Tract 99.07, District of Columbia, District of Columbia",1400000US11001009907,2596,28.9,0,2536,16,33,0,0,1222,1085,249,836,1900,9,29,75,178,603,1006,227800,0,2596,1098,15973,9,24459,2125,450,0,1407,1378,1174,8,11,001,009907
"Census Tract 101, District of Columbia, District of Columbia",1400000US11001010100,2455,32.7,1510,387,0,231,12,216,1997,1724,436,1288,1768,0,51,5,257,106,1349,383300,0,2405,358,61413,155,56771,167,1486,82,2148,1356,1798,1390,11,001,010100
"Census Tract 102, District of Columbia, District of Columbia",1400000US11001010200,2616,40.2,1229,1086,0,121,0,36,1944,1605,525,1080,1710,45,36,132,155,376,966,326900,10,2616,246,65676,220,76414,570,1726,27,1887,1700,1638,1287,11,001,010200
"Census Tract 103, District of Columbia, District of Columbia",1400000US11001010300,3538,38.1,848,2030,42,66,1,535,1302,1129,583,546,1575,0,90,0,169,494,822,401100,15,3274,465,31748,50,55910,1379,1464,50,2650,1904,2069,849,11,001,010300
"Census Tract 104, District of Columbia, District of Columbia",1400000US11001010400,3995,35.7,149,3735,0,1,0,76,1864,1518,464,1054,2334,44,19,7,113,495,1656,276300,0,3732,1143,17639,0,29873,2376,1268,16,2809,2638,2171,390,11,001,010400
"Census Tract 105, District of Columbia, District of Columbia",1400000US11001010500,4003,36.1,1565,1986,0,302,0,55,2588,2399,588,1811,3023,103,17,91,345,559,1908,360300,12,4003,728,50540,211,59583,1392,1847,69,3387,2708,2909,1764,11,001,010500
"Census Tract 106, District of Columbia, District of Columbia",1400000US11001010600,3901,32.4,1647,1952,0,195,0,43,1671,1591,820,771,1935,0,0,0,134,52,1749,420900,0,3901,623,38677,88,76680,1093,2232,154,3154,2680,2498,1426,11,001,010600
"Census Tract 107, District of Columbia, District of Columbia",1400000US11001010700,2100,27.4,1500,226,0,328,0,0,1458,1297,233,1064,1588,0,0,10,20,91,1467,484300,6,1923,545,59212,124,59522,195,1333,47,1969,1500,1266,1031,11,001,010700
"Census Tract 108, District of Columbia, District of Columbia",1400000US11001010800,6431,20.0,4732,728,14,726,0,67,1184,1006,68,938,1463,36,33,5,25,66,1298,264300,0,1532,915,6794,5,13672,161,5461,131,6296,5372,523,489,11,001,010800
"Census Tract 109, District of Columbia, District of Columbia",1400000US11001010900,3169,24.1,17,3128,6,0,0,0,1422,1128,103,1025,2544,0,61,0,221,586,1676,144900,0,3144,1663,15977,0,29667,1950,1184,0,2098,2005,1347,223,11,001,010900
"Census Tract 110, District of Columbia, District of Columbia",1400000US11001011000,3793,49.8,1568,1820,26,132,0,120,3022,2376,1723,653,1356,17,0,103,171,159,906,268100,34,3692,674,56934,150,74500,898,2313,54,2515,2070,2238,1475,11,001,011000
"Census Tract 111, District of Columbia, District of Columbia",1400000US11001011100,4655,45.3,448,3843,0,0,0,203,1872,1651,1155,496,1225,61,10,26,255,118,755,355100,8,4363,578,30639,97,60268,2449,1935,46,2876,2691,2568,705,11,001,011100
