NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9544, Washington County, Vermont",1400000US50023954400,2955,44.4,2871,0,7,28,0,0,1477,1273,1018,255,466,272,235300,18,2938,224,32898,44,66708,1719,1103,26,2022,1994,1843,791,50,023,954400
"Census Tract 9545, Washington County, Vermont",1400000US50023954500,2887,48.9,2677,31,0,70,0,0,1198,1138,1006,132,370,277,191900,23,2790,270,27856,22,59154,1910,848,0,1694,1618,1507,524,50,023,954500
"Census Tract 9546, Washington County, Vermont",1400000US50023954600,2390,39.1,2355,0,0,35,0,0,1064,1023,583,440,897,679,240200,0,2320,94,30931,30,62005,841,1401,54,1676,1643,1453,940,50,023,954600
"Census Tract 9547, Washington County, Vermont",1400000US50023954700,1520,45.8,1470,0,0,9,0,0,757,706,512,194,362,262,203900,3,1488,162,32015,27,59904,656,784,27,929,866,843,500,50,023,954700
"Census Tract 9548, Washington County, Vermont",1400000US50023954800,2093,47.2,2035,20,14,0,0,0,1129,1057,411,646,1007,633,239500,0,1938,247,33991,12,50156,912,1133,13,1308,1266,1131,589,50,023,954800
"Census Tract 9549, Washington County, Vermont",1400000US50023954900,1875,43.1,1798,0,0,54,0,0,923,883,655,228,477,379,177200,0,1861,162,31734,40,55781,940,821,23,1135,1058,991,641,50,023,954900
"Census Tract 9550, Washington County, Vermont",1400000US50023955000,2577,45.3,2537,6,0,0,0,5,1154,1107,900,207,408,341,227200,7,2572,153,34770,61,62092,1248,1233,18,1589,1560,1503,783,50,023,955000
"Census Tract 9551, Washington County, Vermont",1400000US50023955100,4215,40.7,3917,90,2,0,0,0,2251,2075,996,1079,1950,1160,166100,0,4129,952,24259,0,37405,2920,1087,41,2823,2776,2358,566,50,023,955100
"Census Tract 9552, Washington County, Vermont",1400000US50023955200,4863,40.6,4456,186,24,0,0,0,2200,1980,998,982,2165,1701,134900,17,4584,496,21330,0,42692,3288,1375,39,2747,2547,2474,388,50,023,955200
"Census Tract 9553, Washington County, Vermont",1400000US50023955300,4215,43.8,4169,0,9,0,0,17,1692,1682,1615,67,170,160,199800,11,4215,89,35060,141,75078,2972,1157,49,2695,2644,2490,725,50,023,955300
"Census Tract 9554, Washington County, Vermont",1400000US50023955400,3684,42.9,3538,0,0,122,0,0,1690,1600,1254,346,751,347,168600,0,3673,238,29132,35,61404,2752,849,11,2345,2208,2037,338,50,023,955400
"Census Tract 9555, Washington County, Vermont",1400000US50023955500,6646,29.1,6342,119,29,22,7,58,2547,2080,1517,563,1264,848,177400,0,5004,736,20997,32,58491,2815,3554,131,4899,4741,2934,1216,50,023,955500
"Census Tract 9556, Washington County, Vermont",1400000US50023955600,1464,46.5,1435,0,0,8,0,0,2266,626,523,103,170,118,275700,26,1464,78,39981,67,65948,446,952,30,956,919,873,440,50,023,955600
"Census Tract 9557, Washington County, Vermont",1400000US50023955700,1775,45.9,1730,6,7,13,0,0,1048,821,578,243,420,243,365500,8,1767,183,35075,24,52350,677,1022,27,1084,1080,1017,525,50,023,955700
"Census Tract 9558, Washington County, Vermont",1400000US50023955800,1190,44.0,1184,0,0,0,0,0,1086,492,400,92,213,188,319300,10,1182,39,36340,15,83000,351,778,24,771,759,742,458,50,023,955800
"Census Tract 9670, Windham County, Vermont",1400000US50025967000,3200,41.4,3093,0,5,41,0,0,1605,1396,751,645,1315,884,139900,0,3172,666,20017,10,32337,1582,1594,0,1975,1974,1600,313,50,025,967000
"Census Tract 9671, Windham County, Vermont",1400000US50025967100,2086,41.9,2034,0,0,1,0,0,904,834,689,145,332,188,181600,6,2058,286,30421,27,48382,1158,842,45,1261,1191,1056,278,50,025,967100
"Census Tract 9672, Windham County, Vermont",1400000US50025967200,3178,48.0,3076,10,2,12,0,11,2079,1421,1178,243,487,281,212200,29,3133,388,32920,79,50506,1244,1794,40,1994,1931,1850,672,50,025,967200
"Census Tract 9673, Windham County, Vermont",1400000US50025967300,1610,45.5,1547,25,0,3,0,28,1393,751,605,146,347,259,228500,15,1610,71,27214,0,52784,599,934,0,996,946,894,289,50,025,967300
