NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 98.04, Multnomah County, Oregon",1400000US41051009804,3314,38.5,2595,101,0,387,0,134,1208,1134,703,431,1140,0,0,0,406,669,65,172300,0,0,0,3309,935,18070,7,37428,1607,869,43,2025,1312,1731,181,41,051,009804
"Census Tract 99.03, Multnomah County, Oregon",1400000US41051009903,6270,43.3,4985,123,0,686,0,12,2167,2099,1925,174,741,0,0,0,320,421,0,274900,0,0,0,6210,94,34465,91,87319,3522,1913,16,3969,3088,3481,1082,41,051,009903
"Census Tract 99.04, Multnomah County, Oregon",1400000US41051009904,3953,34.7,3643,46,0,59,9,52,1525,1384,778,606,1952,0,0,11,226,1693,22,214800,0,0,0,3937,1021,24846,0,55705,2086,1354,69,2481,1982,2133,336,41,051,009904
"Census Tract 99.05, Multnomah County, Oregon",1400000US41051009905,3261,36.4,2687,21,131,47,67,73,1254,1211,820,391,957,0,0,57,85,815,0,219400,0,0,0,3135,265,28363,20,57301,1918,1100,24,2138,1964,1936,425,41,051,009905
"Census Tract 99.06, Multnomah County, Oregon",1400000US41051009906,3233,45.9,2808,111,5,107,0,130,1327,1282,987,295,723,0,0,0,233,442,48,278800,0,0,0,3233,137,41106,79,87708,1809,1133,0,2060,1796,1847,571,41,051,009906
"Census Tract 99.07, Multnomah County, Oregon",1400000US41051009907,4927,38.7,4008,23,136,54,0,262,1888,1800,1284,516,1526,0,0,77,564,867,18,268000,0,0,10,4855,503,30303,93,68875,2804,1712,24,2740,2420,2485,660,41,051,009907
"Census Tract 100.01, Multnomah County, Oregon",1400000US41051010001,5315,40.0,4863,62,13,51,0,118,2578,2458,652,1806,3735,5,0,107,803,2429,391,229100,0,0,0,5267,1405,21684,0,29612,2545,2213,22,3335,2617,2915,579,41,051,010001
"Census Tract 100.02, Multnomah County, Oregon",1400000US41051010002,5708,37.1,4568,61,178,327,0,313,2110,1960,1134,826,2221,0,0,51,478,1514,178,223400,0,0,0,5634,925,24925,63,57083,2713,2248,85,3698,2955,3104,725,41,051,010002
"Census Tract 101, Multnomah County, Oregon",1400000US41051010100,9090,35.5,7226,606,51,254,0,283,3885,3682,1569,2113,4774,13,34,138,1316,3103,170,212100,0,0,0,9028,1588,26629,48,49179,5717,2614,82,5475,4737,4672,1031,41,051,010100
"Census Tract 102, Multnomah County, Oregon",1400000US41051010200,6213,43.3,5054,144,109,427,0,189,2461,2420,1823,597,1683,0,0,0,495,1095,93,194500,0,0,10,6213,1040,25057,28,60148,3017,2132,41,3911,3172,3555,782,41,051,010200
"Census Tract 103.03, Multnomah County, Oregon",1400000US41051010303,5521,33.0,4258,289,11,320,0,252,2248,2162,958,1204,2678,0,0,0,893,1461,324,219500,0,0,0,5438,793,26566,64,47201,2981,1934,36,3457,2873,3027,715,41,051,010303
"Census Tract 103.04, Multnomah County, Oregon",1400000US41051010304,4456,29.1,3228,158,259,139,112,322,1537,1457,619,838,2736,0,0,24,1083,1379,250,197500,0,0,0,4456,1410,19622,39,36756,2210,1315,124,2611,1756,2239,244,41,051,010304
"Census Tract 103.05, Multnomah County, Oregon",1400000US41051010305,4316,38.1,3916,27,63,127,0,0,1562,1552,1132,420,1298,0,0,0,269,840,189,224400,0,0,0,4284,624,31007,39,71850,2533,1534,16,2894,2649,2487,784,41,051,010305
