NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Converse County, Wyoming",0500000US56009,14223,40.4,13532,12,80,123,1,1094,119,6506,5576,4095,1481,3773,20,22,73,976,2344,338,194500,11,11,0,14095,1178,31470,127,66737,6564,7191,83,8696,8018,7617,1186,56,009
"Crook County, Wyoming",0500000US56011,7284,43.1,7209,12,7,10,0,175,13,3573,2976,2348,628,1664,33,115,52,388,944,132,217500,41,0,0,7231,441,32817,134,60307,2106,5075,35,4268,4116,3797,812,56,011
"Fremont County, Wyoming",0500000US56013,40683,38.4,29893,211,8306,177,30,2758,570,17703,15159,10718,4441,11921,144,331,331,3156,6451,1508,189600,49,7,22,39673,5585,26606,453,53559,21169,18742,227,23765,21803,20347,4528,56,013
"Goshen County, Wyoming",0500000US56015,13546,42.8,12528,20,67,33,0,1425,503,5949,5350,4084,1266,2798,11,30,34,645,1672,406,153000,23,0,8,12775,2031,25883,82,44883,5144,7829,204,8030,7342,6701,1595,56,015
"Hot Springs County, Wyoming",0500000US56017,4781,51.4,4607,7,66,0,0,147,44,2607,2262,1668,594,1334,0,2,30,392,723,187,147500,0,12,21,4674,524,29499,53,46087,2040,2676,37,2628,2556,2446,583,56,017
"Johnson County, Wyoming",0500000US56019,8572,44.9,7941,38,338,0,0,183,91,4536,3668,2688,980,2083,18,64,310,362,1108,221,247800,51,7,7,8474,499,31888,102,54594,3784,4560,86,4917,4635,4295,1191,56,019
"Laramie County, Wyoming",0500000US56021,96459,36.7,85228,2760,682,1120,165,13697,3248,41571,37362,25590,11772,27715,89,275,729,5951,17617,3054,195900,60,6,45,94110,9812,30249,1068,61201,38298,53854,1361,60182,56488,50738,14217,56,021
"Lincoln County, Wyoming",0500000US56023,18543,38.5,17833,39,49,77,15,819,117,9042,7002,5540,1462,3580,47,0,46,640,2498,349,204300,27,44,27,18400,1616,29748,262,64579,7368,10608,168,10773,10278,9592,1876,56,023
"Natrona County, Wyoming",0500000US56025,80871,35.9,75254,964,764,748,6,6630,908,35648,32422,21298,11124,26302,63,344,655,4985,16417,3838,193200,96,13,131,79013,8333,30902,1219,56983,39006,39030,628,51080,47850,43731,9632,56,025
"Niobrara County, Wyoming",0500000US56027,2498,39.2,2314,3,88,13,0,106,24,1281,981,689,292,538,33,12,110,92,291,0,155200,16,11,29,2170,296,23356,29,40640,1032,1451,8,1537,1477,1308,235,56,027
"Park County, Wyoming",0500000US56029,29083,43.7,27431,243,158,177,3,1634,537,13931,11826,8512,3314,7367,73,57,286,1361,4675,915,231100,90,38,48,28340,2288,30179,349,61185,11223,17058,21,17397,16392,14716,4645,56,029
"Platte County, Wyoming",0500000US56031,8740,47.2,8229,5,36,11,0,683,142,4698,3680,2776,904,2078,33,13,0,465,1154,413,164000,3,0,36,8617,1340,30054,128,41051,3050,5426,21,5031,4827,4401,843,56,031
"Sheridan County, Wyoming",0500000US56033,29924,42.4,28209,259,415,220,0,1231,332,14344,12697,8688,4009,8434,13,129,246,1625,5699,722,237700,38,10,34,28993,2378,29630,220,53914,12038,17058,226,18029,17267,15602,4816,56,033
"Sublette County, Wyoming",0500000US56035,10032,37.5,9978,0,0,10,0,784,0,5859,3203,2285,918,2589,58,0,7,421,2012,91,264700,50,0,46,9984,775,30295,61,76004,3652,6011,163,6276,5884,5638,1515,56,035
"Sweetwater County, Wyoming",0500000US56037,44812,33.8,41314,405,398,276,137,7107,750,19102,16533,11994,4539,12081,67,125,275,1987,8204,1423,190700,19,0,15,44166,4868,30945,522,68233,19199,22728,416,28248,25130,24187,5329,56,037
"Teton County, Wyoming",0500000US56039,22623,38.4,20964,168,95,410,0,3433,760,13292,8576,5132,3444,9032,0,24,192,2582,5763,471,720000,631,333,490,22524,1650,46499,1270,75594,4963,14750,314,15534,12740,14242,7883,56,039
"Uinta County, Wyoming",0500000US56041,20893,34.8,19705,39,204,31,0,1872,280,8768,7432,5227,2205,6086,3,62,91,1301,3858,771,179500,38,0,14,20658,3462,25636,209,53323,7120,12753,187,12486,11333,10808,2093,56,041
"Washakie County, Wyoming",0500000US56043,8351,43.5,7575,66,47,15,0,1166,321,3811,3493,2604,889,2108,9,16,23,568,1047,445,156900,35,0,21,8174,1198,26325,119,46212,4122,3861,52,4638,4168,4195,834,56,043
"Weston County, Wyoming",0500000US56045,7175,43.8,6686,18,9,361,0,72,0,3498,3134,2406,728,1552,35,18,76,308,774,341,172300,8,5,0,6819,1002,29493,103,55640,2158,4681,43,4347,4148,3862,791,56,045
"Adjuntas Municipio, Puerto Rico",0500000US72001,18760,38.9,15198,108,21,0,0,18724,3244,7673,6305,3333,2972,8425,648,688,663,3002,3049,375,90900,0,0,0,18714,11791,7124,14,11296,0,300,18434,11421,709,9558,1996,72,001
"Aguada Municipio, Puerto Rico",0500000US72003,40083,40.0,23137,968,0,74,0,37471,1544,17508,12934,9697,3237,9088,848,740,1068,2736,3302,394,89900,0,0,24,40039,21828,8592,0,15543,0,2656,36855,25566,1035,21544,4966,72,003
"Aguadilla Municipio, Puerto Rico",0500000US72005,56893,40.2,38292,2219,106,661,11,54991,7501,27365,20999,12971,8028,21242,1309,1067,1709,6503,9134,1520,124100,25,0,26,55297,27469,10335,104,17191,0,4880,51225,34104,1463,28678,7947,72,005
"Aguas Buenas Municipio, Puerto Rico",0500000US72007,27323,39.2,22633,2086,147,3,0,27176,621,10790,8675,5796,2879,8429,901,476,949,3064,2825,214,109100,42,0,0,27214,13814,9647,43,15409,0,569,26427,16734,925,14071,2491,72,007
"Aibonito Municipio, Puerto Rico",0500000US72009,24438,40.3,20236,1654,14,55,0,24338,2284,9961,8569,6881,1688,4994,162,170,603,1857,1880,322,119900,6,0,63,24427,11433,9262,0,18145,0,1228,22952,15016,730,12608,3082,72,009
"A?asco Municipio, Puerto Rico",0500000US72011,28250,40.7,16464,1030,0,33,1,27668,7009,12448,9373,7295,2078,6088,404,497,853,1753,2278,303,100400,0,0,0,28142,13760,8673,16,17712,0,1343,26782,17336,454,14574,2849,72,011
"Arecibo Municipio, Puerto Rico",0500000US72013,91096,41.0,77732,4038,287,711,0,90685,6374,41400,32121,21911,10210,27513,2160,1197,2582,7371,11920,2283,98200,19,18,0,89880,43974,9438,58,16796,0,4993,85433,54837,2373,45768,11341,72,013
"Arroyo Municipio, Puerto Rico",0500000US72015,18778,37.8,10767,4146,0,0,0,18749,3665,8556,6203,4762,1441,4693,188,190,422,1076,1886,931,92300,81,0,13,18767,9958,7655,22,16387,0,931,17793,11187,514,9352,1788,72,015
"Barceloneta Municipio, Puerto Rico",0500000US72017,24699,37.9,22692,560,0,96,0,24542,998,9892,8330,6560,1770,5194,171,499,573,1333,2147,471,108200,0,0,0,24670,13083,8245,0,15549,0,1031,23434,14902,699,12431,2381,72,017
"Barranquitas Municipio, Puerto Rico",0500000US72019,29548,34.8,21754,855,0,0,0,29547,1414,11034,9376,7114,2262,6885,598,598,399,1962,3003,325,102500,0,0,0,29200,17728,7369,0,14778,0,1300,28127,18371,834,14920,2948,72,019
"Bayamon Municipio, Puerto Rico",0500000US72021,192974,39.8,120384,14050,1216,429,16,191151,14289,83785,70950,49026,21924,56968,3245,1621,4080,16292,27324,4406,141100,120,48,149,187293,66051,13472,279,24612,0,10215,175779,117264,7883,97901,32225,72,021
"Cabo Rojo Municipio, Puerto Rico",0500000US72023,50096,41.7,30116,1552,38,11,0,49971,17962,29625,17130,10012,7118,19854,3907,2228,2550,4574,5839,756,112800,21,0,15,49993,25055,9833,56,17088,0,3412,46426,29445,922,24851,7781,72,023
"Caguas Municipio, Puerto Rico",0500000US72025,136372,38.8,104587,11515,222,562,0,135062,16541,58356,50327,34496,15831,42049,2674,2052,3345,10058,21197,2723,137300,7,0,188,135820,50464,13911,319,24278,0,6134,127869,82971,5447,69591,23883,72,025
"Camuy Municipio, Puerto Rico",0500000US72027,33481,39.1,26674,716,38,0,0,33238,5734,14051,11816,8327,3489,9534,1171,718,1171,2741,3365,368,105300,0,0,0,33433,16173,9271,49,17206,0,2227,31121,20637,1059,17232,4258,72,027
"Canovanas Municipio, Puerto Rico",0500000US72029,47174,38.2,23000,6165,19,173,0,47066,17559,18012,14664,11232,3432,11155,1178,395,1091,3448,4162,881,116600,20,0,44,46916,20421,10664,81,20426,0,2050,43598,29140,1221,24314,5834,72,029
"Carolina Municipio, Puerto Rico",0500000US72031,165040,40.5,92130,38540,4254,557,18,163072,15242,77771,64408,44184,20224,50218,1920,1843,4763,12774,25616,3302,150300,130,34,181,164237,49105,15403,441,28611,0,8337,146475,99054,6744,82479,28612,72,031
"Cata?o Municipio, Puerto Rico",0500000US72033,26137,37.8,16885,2575,16,69,0,25919,4861,10849,9190,5686,3504,9704,1208,1051,695,2776,3422,552,127100,0,0,0,26115,12829,11039,26,18562,0,1195,24039,15928,997,13222,3182,72,033
"Cayey Municipio, Puerto Rico",0500000US72035,46071,40.4,35965,1837,65,114,0,45801,6336,20106,16629,11120,5509,15062,1106,808,1324,4424,6281,1119,120800,56,43,9,46007,19824,12441,83,20577,0,2191,43462,28266,1006,23644,6571,72,035
"Ceiba Municipio, Puerto Rico",0500000US72037,12538,40.1,7502,1061,9,153,0,12391,3633,7456,4585,3488,1097,3166,57,151,433,830,1537,158,96200,46,0,0,12521,5611,10584,12,20038,0,466,11776,7290,277,6039,1273,72,037
"Ciales Municipio, Puerto Rico",0500000US72039,17644,39.8,16938,127,0,0,0,17576,205,7322,5883,3850,2033,5453,513,384,558,1446,2250,302,103700,6,0,0,17589,10694,7080,0,12511,0,291,17329,10753,555,8974,1498,72,039
